0.18, -0.08928748, 0.003572481, 6.247972, 0, 0.0037152617761537313283784346, 58725.77, -1034.998, -3.95279, 0.004901078, 0.07899523, 327.2769, 1.30311, 1.192726, 1.571966
 
0.19, -0.0923939, 0.002679606, 6.252339, 0, 0.004065747010334587082505, 58608.04, -1036.917, -3.95279, 0.004901078, 0.07899523, 326.9977, 1.302745, 1.192726, 1.571966
 
0.2, -0.09343501, 0.001755667, 6.256625, 0, 0.0043228227227623404224521814, 58490.78, -1038.823, -3.95279, 0.004901078, 0.07899523, 326.7194, 1.302386, 1.192726, 1.571966
 
0.21, -0.09250556, 0.0008213172, 6.26081, 0, 0.004485584777483825947886, 58373.9, -1040.714, -3.95279, 0.004901078, 0.07899523, 326.4417, 1.302032, 1.192726, 1.571966
 
0.22, -0.08974312, -0.0001037384, 6.264904, 0, 0.0045555039923125950823240592, 58257.51, -1042.59, -3.95279, 0.004901078, 0.07899523, 326.1649, 1.301684, 1.192726, 1.571966
 
0.23, -0.08532032, -0.00100117, 6.268882, 0, 0.0045361588435082506697660545, 58141.49, -1044.449, -3.95279, 0.004901078, 0.07899523, 325.8888, 1.301341, 1.192726, 1.571966
 
0.24, -0.07940686, -0.001854373, 6.272751, 0, 0.0044314473774540470467678055, 58025.95, -1046.29, -3.95279, 0.004901078, 0.07899523, 325.6135, 1.301003, 1.192726, 1.571966
 
0.25, -0.07221916, -0.002648441, 6.276485, 0, 0.00424810206155552831020, 57910.79, -1048.11, -3.95279, 0.004901078, 0.07899523, 325.3389, 1.300669, 1.192726, 1.571966
 
0.26, -0.06399153, -0.003370633, 6.280094, 0, 0.003994401576566581220414, 57796.12, -1049.91, -3.95279, 0.004901078, 0.07899523, 325.0652, 1.300339, 1.192726, 1.571966
 
0.27, -0.05491637, -0.004010548, 6.283549, 0, 0.00367710219705302629344, 57681.81, -1051.685, -3.95279, 0.004901078, 0.07899523, 324.7921, 1.300012, 1.192726, 1.571966
 
0.28, -0.0452631, -0.004559712, 6.286865, 0, 0.003307550610914694970812, 57567.98, -1053.437, -3.95279, 0.004901078, 0.07899523, 324.5199, 1.299688, 1.192726, 1.571966
 
0.29, -0.03523402, -0.005012343, 6.290009, 0, 0.002894344895563100100486, 57454.52, -1055.161, -3.95279, 0.004901078, 0.07899523, 324.2483, 1.299367, 1.192726, 1.571966
 
0.3, -0.02504796, -0.005364683, 6.292998, 0, 0.002447587961103630764232, 57341.54, -1056.859, -3.95279, 0.004901078, 0.07899523, 323.9776, 1.299048, 1.192726, 1.571966
 
